Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 18:45:00,1.277041,1.277041,1.277041,1.277041,0.000000
2019-01-07 18:47:00,1.277188,1.277188,1.277188,1.277188,0.000000
2019-01-07 18:49:00,1.276878,1.276878,1.276862,1.276862,0.000000
2019-01-07 18:52:00,1.276650,1.276650,1.276650,1.276650,0.000000
2019-01-07 18:54:00,1.276585,1.276585,1.276585,1.276585,0.000000
2019-01-07 18:55:00,1.276683,1.276683,1.276683,1.276683,0.000000
2019-01-07 18:57:00,1.276846,1.276846,1.276846,1.276846,0.000000
2019-01-07 18:59:00,1.276797,1.276797,1.276797,1.276797,0.000000
2019-01-07 19:00:00,1.276878,1.276878,1.276878,1.276878,0.000000
2019-01-07 19:02:00,1.276846,1.276846,1.276846,1.276846,0.000000
2019-01-07 19:04:00,1.276829,1.276862,1.276829,1.276862,0.000000
2019-01-07 19:07:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 19:09:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 19:10:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 19:12:00,1.277009,1.277009,1.277009,1.277009,0.000000
2019-01-07 19:14:00,1.276764,1.276976,1.276764,1.276976,0.000000
2019-01-07 19:17:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 19:18:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 19:19:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 19:20:00,1.276960,1.276960,1.276960,1.276960,0.000000
2019-01-07 19:21:00,1.276960,1.276960,1.276960,1.276960,0.000000
2019-01-07 19:23:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 19:25:00,1.276895,1.276895,1.276895,1.276895,0.000000
2019-01-07 19:27:00,1.276944,1.276944,1.276944,1.276944,0.000000
2019-01-07 19:29:00,1.276960,1.276960,1.276960,1.276960,0.000000
2019-01-07 19:30:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 19:32:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 19:34:00,1.276992,1.276992,1.276992,1.276992,0.000000
